sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
24-MB01,,Bag,simple,"Default Category/Gear,Default Category/Gear/Bags",base,"Joust Duffle Bag","<p>The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p>
<ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul>",,,1,0,"Catalog, Search",34.000000,,,,joust-duffle-bag,,,,/m/b/mb01-blue-0.jpg,Image,/m/b/mb01-blue-0.jpg,Image,/m/b/mb01-blue-0.jpg,Image,,,"10/6/23, 4:24 AM","10/8/23, 11:14 PM",,,"Product Info Column",,,,No,,,,,,,"Use config",,"color=Black,eco_collection=No,erin_recommends=No,new=No,performance_fabric=No,sale=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,"24-WG086,24-WG083-blue,24-UG01,24-WG085_Group","1,2,3,4","24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB07","1,2,3,4,5,6,7,8",/m/b/mb01-blue-0.jpg,Image,,,,,,,,,,,,,
MH01-XS-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Chaz Kangeroo Hoodie-XS-Black","<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",52.000000,,,,chaz-kangeroo-hoodie-xs-black,,,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/8/23, 11:17 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"color=Black,eco_collection=No,erin_recommends=No,new=No,performance_fabric=No,sale=No,size=XS",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/m/h/mh01-black_main_1.jpg,,,,,,,,,,,,,,
MH01-S-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Chaz Kangeroo Hoodie-S-Black","<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",52.000000,,,,chaz-kangeroo-hoodie-s-black,,,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=S",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh01-black_main_1.jpg,,,,,,,,,,,,,,
MH01-M-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Chaz Kangeroo Hoodie-M-Black","<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",52.000000,,,,chaz-kangeroo-hoodie-m-black,,,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=M",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh01-black_main_1.jpg,,,,,,,,,,,,,,
MH01-L-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Chaz Kangeroo Hoodie-L-Black","<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",52.000000,,,,chaz-kangeroo-hoodie-l-black,,,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=L",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh01-black_main_1.jpg,,,,,,,,,,,,,,
MH01-XL-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Chaz Kangeroo Hoodie-XL-Black","<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",52.000000,,,,chaz-kangeroo-hoodie-xl-black,,,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,/m/h/mh01-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=XL",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh01-black_main_1.jpg,,,,,,,,,,,,,,
MH02-XS-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Teton Pullover Hoodie-XS-Black","<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",70.000000,,,,teton-pullover-hoodie-xs-black,,,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=XS",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh02-black_main_1.jpg,/m/h/mh02-black_alt1_1.jpg,/m/h/mh02-black_back_1.jpg",",,",,,,,,,,,,,,,
MH02-S-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Teton Pullover Hoodie-S-Black","<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",70.000000,,,,teton-pullover-hoodie-s-black,,,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=S",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh02-black_main_1.jpg,/m/h/mh02-black_alt1_1.jpg,/m/h/mh02-black_back_1.jpg",",,",,,,,,,,,,,,,
MH02-M-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Teton Pullover Hoodie-M-Black","<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",70.000000,,,,teton-pullover-hoodie-m-black,,,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=M",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh02-black_main_1.jpg,/m/h/mh02-black_alt1_1.jpg,/m/h/mh02-black_back_1.jpg",",,",,,,,,,,,,,,,
MH02-L-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Teton Pullover Hoodie-L-Black","<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",70.000000,,,,teton-pullover-hoodie-l-black,,,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=L",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh02-black_main_1.jpg,/m/h/mh02-black_alt1_1.jpg,/m/h/mh02-black_back_1.jpg",",,",,,,,,,,,,,,,
